http://www.mensurrechner.de/Layout/Ausgabe.php?mensur&eigeneAuswahl&BundAnzahl&id=1

Die Mensur "430 mm" wurde auf "20" Bünde berechnet

Bund 	von Bund	vom Sattel	hab ich
1	24.13425	24.13425	
2	22.77969	46.91394	
3	21.50115	68.41509	
4	20.29437	88.70946	
5	19.15533	107.86479	
6	18.08021	125.945	
7	17.06544	143.01044	
8	16.10762	159.11806	
9	15.20356	174.32162	
10	14.35024	188.67186	
11	13.54482	202.21668	
12	12.7846	215.00128	
13	12.06705	227.06833	
14	11.38977	238.4581	
15	10.75051	249.20861	
16	10.14712	259.35573	
17	9.5776	268.93333	
18	9.04005	277.97338	
19	8.53266	286.50604	
20	8.05376	294.5598	
